"census_tract","med_inc_estimate","med_age_estimate","perc_poverty_estimate","perc_owners","perc_ethnic","counts","residuals"
36005022500,52834,31.1,27.7,4.39844760672704,75.3876608380072,7,2.89040313048255
36005022701,31500,33.9,31.8,1.94223107569721,54.3478260869565,6,1.9741277197119
36005022702,27165,31.7,51.3,5.72450805008945,79.5721187025535,4,-0.412290265872697
36005022800,86549,37.6,12.9,9.96200928661883,72.1060952046373,4,0.418591370117543
36005022901,50023,33.5,31.6,3.16518298714144,46.761800219539,2,-1.9846227209317
36005022902,51964,32.8,32.6,21.7167381974249,71.3510425592688,5,1.18268398907387
36005023000,55625,31.7,28.7,20.135527589545,83.3754056978002,2,-1.87625854761132
36005023100,55179,34.1,28.5,11.2412177985948,43.1641791044776,4,0.227053636550419
36005023200,55288,32.6,25.7,27.6904474002418,90.3280067283431,2,-1.70852157439899
36005023301,31887,38.5,31.3,9.14918414918415,60.4130808950086,2,-1.77121728029558
36005023501,39419,35.3,33.1,1.05177993527508,74.8633879781421,2,-2.09732158469634
36005023502,49286,30,22.8,9.8125,65.9708193041526,4,0.0504199194535442
36005023600,73152,31.6,10.4,11.0714285714286,86.9311551925321,7,3.20934609981178
36005023702,53304,32.9,36.9,4.89296636085627,61.6782006920415,4,-0.111718867660378
36005023703,21551,30.5,50.1,1.21614151464898,68.4119677790564,9,4.53613462353678
36005023704,34875,32.5,42.8,0,77.3066666666667,5,0.647015226082659
36005023800,72198,32.4,12.5,35.0199733688415,90.0808854831843,4,0.590162054346492
36005023900,46927,29.7,29.4,0,65.0973143416331,9,4.79012604716556
36005024000,76250,32.8,18.6,49.6296296296296,70.6885245901639,4,0.841509095330281
36005024100,45425,33.6,22.4,0,66.2598486018848,11,7.01268036678197
36005024300,29747,35.5,30.5,0.100300902708124,77.5780323982616,5,0.918359909402636
36005024400,58603,38.5,11.2,36.3847045191193,94.0114487010128,4,0.81824815205826
36005024501,43504,35.6,25.9,4.09511228533686,64.4922947012877,2,-1.89388342749999
36005024502,33333,30.8,28.1,2.85947712418301,64.9652592196686,3,-1.10721572426072
36005024800,64961,39.9,10.4,22.9551451187335,85.0400987045034,2,-1.30874250821074
36005025000,98700,41.6,7.2,51.4989293361884,91.5086887835703,2,-0.76213686472858
36005025100,44845,41.5,27,19.9824330259113,78.230571125587,6,2.49371219061986
36005025200,85192,34.1,11.5,30.0220750551876,93.7029702970297,3,-0.436960990354143
36005025300,49906,30.9,21.2,2.06896551724138,76.7376122381111,11,6.9296788619657
36005025400,78500,43.1,15.5,54.6753246753247,98.1518481518482,2,-0.802214614978409
36005025500,39231,33.5,28.6,2.36318407960199,78.8865979381443,3,-1.09013252761713
36005025600,51053,36.2,9.1,20.3225806451613,92.2777417261518,1,-2.48808195206454
36005026300,37361,35.3,25.8,5.61085972850679,85.0086906141367,7,3.03708682092919
36005026400,70463,34.6,12.7,39.6174863387978,90.9150757077024,1,-2.26648290295373
36005026500,57900,34.1,20.8,3.40314136125654,88.5220994475138,6,2.0151460843252
36005026601,47778,35.4,26.5,18.910741301059,95.2089704383282,6,2.20832517909059
36005026602,46069,45,20.3,12.8226136829168,86.061065806941,11,7.55247156221929
36005026701,49167,31.9,22.9,2.53164556962025,78.0011013215859,5,0.941916302077844
36005027300,54396,39,24.7,11.2820512820513,71.3900134952766,3,-0.673422701203764
36005027401,89925,43.4,3.9,77.5498575498575,97.2823865958316,2,-0.249161933202735
36005027700,29939,37.3,32.3,3.53733857383492,86.8736250305549,3,-1.02829555440878
36005027900,57129,35.7,16.3,23.9357990230286,78.5330713817944,2,-1.48757379707684
36005028500,70543,40.7,10.9,30.8988764044944,91.9314727825366,5,1.8138084651821
36005028600,87917,56.8,5.8,53.6480686695279,94.6315789473684,2,-0.212214173695544
36005028800,86757,40.8,16.4,52.1653543307087,91.6307471264368,1,-1.90592547230721
36005028900,53138,35.9,29.8,21.6768916155419,90.0308324768756,11,7.2466238859684
36005029302,121250,47.5,8.4,65.8017041053447,88.675799086758,2,-0.333112001521146
36005029500,95435,44.2,15.8,53.8498556304139,88.978086352788,4,1.25494407446945
36005029600,55486,34.6,11.1,19.5232690124858,91.1561492399816,2,-1.57783934715013
36005029700,97132,52.8,3.1,58.3149779735683,88.9794909809736,1,-1.20766562847703
36005030000,90307,39,15.3,38.1899350649351,89.5553566099672,6,2.82654301240687
36005030202,59107,47.5,9.7,39.2210857592447,25.6045781798043,3,0.471745304756185
36005031200,118529,34.1,4,59.5563139931741,78.9859154929577,2,-0.782884466054455
36005032300,96678,60,5.8,64.1189759036145,91.4684704342134,3,1.08118443874427
36005032400,40239,41.2,29.4,14.1035856573705,77.4183112261404,2,-1.64349841432098
36005032600,104870,44.9,10.1,45,83.9701492537313,5,2.23178515846989
36005032800,46648,35.3,23.4,13.2780082987552,81.4639020734449,2,-1.7879811309635
36005033000,44785,37,22.4,11.0753676470588,72.8116710875332,9,5.28229158230319
36005033201,37898,44.7,26.7,19.4154488517745,91.5793635105752,2,-1.46018672159073
36005033202,42114,50.9,19.3,20.8562691131498,77.42903930131,3,-0.0675839570355604
36005033601,27674,37.4,43.7,2.04271123491179,53.7462537462537,4,-0.0697547996939106
36005033700,144886,51.5,4.3,74.0701381509033,96.692607003891,5,2.96084849344416
36005033801,68330,28.9,18.9,19.7452229299363,61.9805481874447,3,-0.751258749959372
36005033802,69960,31,25.7,3.98613518197574,65.2268999453253,2,-2.04969685449264
36005034000,64727,33,15.5,22.7889310906131,60.4301075268817,4,0.489731816695314
36005034200,67809,34.3,12.5,37.9905808477237,41.0616229408176,1,-2.09295985227642
36005034300,87950,40.4,2.5,50.7563025210084,93.2777777777778,2,-0.75672469403392
36005034400,73438,39,29.8,59.8086124401914,39.2373306573006,1,-1.80712381813904
36005034500,118583,44.6,11.9,54.6495956873315,89.3867924528302,1,-1.66607615320764
36005034800,47593,34.6,26.3,35.597302504817,50.6070908207868,4,0.646329511184838
36005035000,69178,38.6,6.5,48.0796586059744,30.2436693741042,5,2.34597183833937
36005035100,110513,29.9,9.3,42.2272047832586,90.7455683003128,1,-2.33250608855666
36005035600,98523,33.9,9.1,62.0060790273556,18.5876993166287,1,-1.56811732494797
36005035800,85804,40.5,12.7,64.6993729251199,29.7262562652615,3,0.600687097349278
36005035900,24823,30.9,51.9,5.70212765957447,70.362473347548,2,-2.40934601686032
36005036000,96250,48.8,5.2,72.0250521920668,42.632241813602,2,0.0495211942412803
36005036100,24728,31.3,51.9,0.693160813308688,59.5204513399154,1,-3.43370226424046
36005036300,26524,35.3,42.5,6.46114864864865,59.0213603999394,7,2.92785111084441
36005036400,62188,40.4,7.1,56.872037914692,8.87906789875452,4,1.63231803951155
36005036501,41287,31.8,30.5,2.27434257285004,43.6844613918017,4,-0.0281016154908677
36005036502,31729,29.7,39.3,4.60947503201024,62.9230769230769,2,-2.26181462484901
36005036901,25469,31.1,41.9,10.5333333333333,64.5874263261297,2,-2.15998317570681
36005036902,15000,27.2,55.9,5.71776155717762,48.3534806169237,2,-2.49650746705931
36005037000,82039,35.1,15.5,57.6866764275256,27.027027027027,3,0.276595370150564
36005037100,21250,37.3,27.8,9.01213171577123,48.9143693583801,4,0.282852519304543
36005037200,68030,36.7,13.9,31.7479191438763,56.404593639576,1,-2.19940151535931
36005037300,50232,27,32.3,10.5722599418041,50.7026858213616,4,-0.105385337386231
36005037400,36398,32.6,29.3,16.3734776725304,56.3716086599068,6,2.1957423058293
36005037504,29330,30.6,34.1,0.0717360114777618,57.4406332453826,6,1.78811471339085
36005037600,69345,42.4,21.4,35.4581673306773,60.7988165680473,1,-2.06982601612847
36005037800,43333,34.1,19.8,15.4991243432574,47.1894517696044,2,-1.59861140229657
36005037900,35431,29.1,41,4.24870466321244,31.3617822403514,4,-0.179919122365609
36005038000,41942,36.5,39.9,33.5054207537429,36.5380171019182,10,6.54523140652293
36005038100,36722,32.3,37.9,1.90912562046583,54.5133437990581,8,3.83483413636719
36005038200,73077,37.3,18.2,54.5929018789144,28.8641889544981,2,-0.746178107513974
36005038301,47394,31.1,24.7,1.86972255729795,78.3501006036217,4,-0.122186449950645
36005038303,26837,26.2,33.7,2.56835128417564,52.9222520107239,1,-3.29323692830939
36005038304,20625,28.5,50.4,6.5989847715736,57.9981290926099,3,-1.4023948341079
36005038500,24605,25.8,59.5,3.62903225806452,64.6917237548602,12,7.30415242619847
36005038600,62340,38.4,22,31.945889698231,22.5312765699016,2,-1.1105130628769
36005038700,42174,27.6,36.6,2.96961325966851,83.6525492311843,4,-0.408053014962354
36005038900,42574,27.8,39.8,1.4721919302072,88.1985294117647,13,8.5105366987354
36005039000,59758,41.5,14.2,17.1933085501859,37.758211987809,2,-1.20633489514918
36005039100,31769,35.4,30.8,5.5939226519337,88.4374565187143,13,8.9565295720866
36005039300,31107,31.2,26.2,3.3993399339934,61.3274948144734,6,1.95658813672406
36005039400,62712,34.8,27.9,14.6577831617202,46.9759375677433,2,-1.70057349361289
36005039500,23194,31.9,41.1,7.76754890678941,61.4748749184251,5,0.845041186752919
36005039600,41547,36.6,20.2,23.030303030303,39.5243757431629,5,1.63595440057499
36005039700,35493,20.1,34.6,2.96127562642369,92.548395651021,4,-0.668154220359019
36005039901,39524,31.6,24.7,0,84.39453125,4,-0.161601680488335
36005039902,50534,30.5,20.6,1.08200455580866,85.6146001073537,10,5.87131534422049
36005040100,26406,33,38.3,0.523062291963861,81.3406177768439,4,-0.282025315088325
36005040302,40938,33.1,38,1.05003088326127,91.4041861410282,2,-2.3077293785168
36005040303,39023,31.8,25.3,8.25035561877667,83.6634817058961,2,-2.02365743443647
36005040304,33218,29.6,33.5,1.47744945567652,85.6080722251726,5,0.668929131003911
36005040400,83333,36.4,5,54.8473967684022,25.4078549848943,6,3.42539850055279
36005040501,42037,36.3,35.6,3.53920888272033,89.3995552260934,5,0.882033536403037
36005040502,39486,31.9,29.5,5.04642712959225,72.4582701062215,4,-0.0848948742954434
36005040600,48157,32.8,18.1,33.4072431633407,28.5145888594164,5,1.75568287106626
36005040701,50068,36,30.4,0.476947535771065,81.342062193126,4,-0.0729929372184953
36005040702,34724,35.5,20.1,2.46356696738376,80.1163780868578,8,4.09110882482955
36005040800,35476,29.8,22.8,13.0541871921182,48.5836560016303,1,-2.83017889593123
36005040900,58466,43.9,5.2,25,33.8150289017341,1,-1.85570983234849
36005041100,42484,40.3,18.7,7.91465932553338,83.1556503198294,3,-0.651523385699086
36005041300,62386,31.5,22.3,11.1365869636423,90.0874635568513,7,3.02891819711928
36005041400,63603,43.3,8.9,36.3929146537842,43.8042131350681,5,2.21985668676934
36005041500,42188,38.7,24.3,10.3101424979044,84.1656299982229,1,-2.74721108575545
36005041800,58090,34,16,25.451688923802,53.3470120543729,3,-0.4102081341673
36005041900,49667,35.2,30.4,1.79506357516829,80.8227848101266,3,-1.07575045033489
36005042000,32672,36.7,43.1,3.13653136531365,50.2729754322111,5,0.947744599557781
36005042100,52714,29.4,26.3,7.37623762376238,88.8454011741683,7,2.84621797382312
36005042200,72091,43.7,7.3,46.9146238377008,28.1118881118881,5,2.49491149089718
36005042300,63723,31.9,22.7,2.42825607064018,82.4724443483899,7,2.92435022136198
36005042400,97083,31.9,8.4,59.6469104665826,29.7539149888143,1,-1.71080896465585
36005042500,42839,35.4,21.1,3.15836298932384,91.4770797962649,6,2.03806762666872
36005042600,87763,45.7,9.7,64.0858208955224,30.0555230859147,2,-0.19546440119095
36005042800,104205,50.7,13.9,77.2908366533864,32.7706057596822,1,-0.879396752830493
36005042901,41658,33.6,30.4,2.96950240770466,84.0223097112861,1,-3.12311329933485
36005042902,48162,40.4,17.5,6.35294117647059,65.891664605491,3,-0.585461338329491
36005043101,39792,39.3,35.3,1.23655913978495,74.3456435998566,8,4.01105845186193
36005043102,38569,38.9,29.2,11.5966386554622,70.0132391879965,5,1.27177700309422
36005043400,71849,41.4,25,40.2338376891334,44.703497212367,7,3.9929241743365
36005043600,60536,39.4,21.6,47.4212034383954,36.9645690111052,1,-1.87557936507665
36005044200,40089,41.1,38.8,49.2418196328811,23.1568279706106,1,-1.96962235136576
36005044901,98007,39.1,5.5,51.1949685534591,92.3415977961432,1,-1.83060865172694
36005044902,88264,32.4,12.8,31.6085489313836,95.1537744641193,4,0.50841180801124
36005045101,73021,47.9,0.7,23.2044198895028,96.3659961064244,1,-1.9499512856765
36005045102,93510,37.4,4,54.4345898004435,93.5865811544154,1,-1.81819347785505
36005046203,41371,50.4,13.8,39.0274314214464,35.3517134759083,1,-1.53200942369385
36005046205,46401,62.2,9.4,44.2367601246106,46.9282013323464,3,0.961316158279797
36005046207,69637,43.4,13.3,56.1277033985582,31.4945285564383,2,-0.459940149045874
36005046208,88817,39.8,11.1,47.732181425486,21.1563012949116,4,1.35439553751061
36005046209,31801,26.6,42.6,18.0873180873181,27.1244462343939,5,0.961017577838717
36005048401,82451,37.9,5.3,45.0647249190938,18.4272608125819,4,1.33855462092617
36005051601,129109,49.4,4.2,66.2311557788945,98.4622553588071,3,0.754957465789247
36047000100,165188,44.3,4.6,58.0457541682823,82.6899879372738,2,-0.49077097477891
