med_inc_estimate,med_age_estimate,perc_poverty_estimate,renters_to_owners,perc_ethnic,counts
121250,47.5,8.4,0.5197174808711007,88.67579908675799,2
95435,44.2,15.8,0.8570151921358355,88.97808635278803,4
55486,34.6,11.1,4.122093023255814,91.15614923998157,2
97132,52.8,3.1,0.7148253068932956,88.97949098097357,1
90307,39.0,15.3,1.618490967056323,89.55535660996718,6
59107,47.5,9.7,1.5496489468405215,25.604578179804317,3
118529,34.1,4.0,0.6790830945558739,78.98591549295774,2
96678,60.0,5.8,0.5596007046388726,91.4684704342134,3
40239,41.2,29.4,6.090395480225989,77.4183112261404,2
104870,44.9,10.1,1.2222222222222223,83.97014925373134,5
46648,35.3,23.4,6.53125,81.46390207344491,2
44785,37.0,22.4,8.029045643153527,72.81167108753316,9
37898,44.7,26.7,4.150537634408602,91.5793635105752,2
42114,50.9,19.3,3.7947214076246336,77.42903930131004,3
27674,37.4,43.7,47.95454545454545,53.74625374625375,4
144886,51.5,4.3,0.3500717360114778,96.69260700389106,5
68330,28.9,18.9,4.064516129032258,61.98054818744474,3
69960,31.0,25.7,24.08695652173913,65.22689994532531,2
64727,33.0,15.5,3.388095238095238,60.43010752688171,4
67809,34.3,12.5,1.6322314049586777,41.06162294081758,1
87950,40.4,2.5,0.9701986754966887,93.27777777777779,2
73438,39.0,29.8,0.672,39.237330657300554,1
118583,44.6,11.9,0.8298397040690506,89.38679245283019,1
47593,34.6,26.3,1.8092016238159676,50.60709082078678,4
69178,38.6,6.5,1.0798816568047338,30.243669374104154,5
110513,29.9,9.3,1.368141592920354,90.74556830031283,1
98523,33.9,9.1,0.6127450980392157,18.587699316628704,1
85804,40.5,12.7,0.5456100342075256,29.72625626526153,3
24823,30.9,51.9,16.53731343283582,70.36247334754798,2
96250,48.8,5.2,0.3884057971014493,42.632241813602015,2
24728,31.3,51.9,143.26666666666668,59.52045133991537,1
26524,35.3,42.5,14.477124183006536,59.021360399939404,7
62188,40.4,7.1,0.7583333333333333,8.879067898754522,4
41287,31.8,30.5,42.96875,43.68446139180172,4
31729,29.7,39.3,20.694444444444443,62.92307692307693,2
25469,31.1,41.9,8.49367088607595,64.58742632612966,2
15000,27.2,55.9,16.48936170212766,48.35348061692372,2
82039,35.1,15.5,0.733502538071066,27.027027027027028,3
21250,37.3,27.8,10.096153846153847,48.91436935838009,4
68030,36.7,13.9,2.149812734082397,56.40459363957597,1
