census_tract,med_inc_estimate,med_age_estimate,perc_poverty_estimate,perc_owners,perc_ethnic,counts
36005007800,61328,33.8,22.8,29.7576070139247,75.8051594295786,6
36005007900,34604,28.6,31.6,0.0,65.32599491955969,7
36005008300,50920,34.0,17.4,22.140699179974106,74.90859232175502,8
36005008500,34543,37.2,35.8,21.880819366852887,68.69126348764358,10
36005008700,36402,31.2,42.4,2.5383141762452106,73.17657630672458,6
36005008900,41484,45.3,18.5,8.0370942812983,84.10003087372647,3
36005009000,33831,34.1,36.8,19.887730553327987,65.68255687973999,6
36005009200,56208,33.9,22.0,26.023706896551722,85.28276556469207,10
36005009301,47185,31.9,26.5,9.115138592750533,71.47651006711409,6
36005009600,53333,38.9,19.5,25.91324200913242,80.83941605839416,2
36005009800,56128,48.4,18.4,44.62759462759463,79.27889713679745,3
36005011502,28592,33.2,42.4,12.02223766504517,64.002828854314,5
36005011701,33967,27.3,34.0,7.302231237322515,67.06428098078197,3
36005011800,109396,26.2,10.8,63.29113924050633,94.34287685408762,1
36005011900,34335,24.8,29.7,5.864197530864197,65.0592628673486,8
36005012101,55000,34.6,29.6,19.70873786407767,68.02342606149341,3
36005012102,43472,36.0,23.2,1.7241379310344827,63.275991024682135,4
36005012300,47402,35.3,12.5,11.065332548557976,45.81892166836216,4
36005012500,51875,30.9,30.6,23.448773448773448,79.45409429280397,4
36005012701,44667,30.8,29.0,26.410256410256412,76.99186991869918,2
36005012901,40575,31.7,35.8,4.830362277170788,78.91753519839094,9
36005013000,59083,39.8,27.2,50.779510022271715,96.43423137876387,1
36005013200,104651,39.3,9.9,62.268518518518526,74.68616360877363,5
36005013300,34055,37.2,21.2,8.318661971830986,63.431599867505795,2
36005013500,27602,36.5,43.4,6.558485463150777,47.519999999999996,3
36005013800,84042,43.0,12.7,65.47717842323651,80.46480296396092,1
36005014100,35506,33.1,27.3,6.523272214386459,62.147763914201605,6
36005014300,16678,36.9,41.6,0.0,52.944606413994165,1
36005014400,29213,30.7,30.0,14.019079220240563,57.92419638573485,1
36005014500,27352,33.7,49.6,1.488833746898263,32.43579766536965,3
36005014702,21196,26.3,41.6,1.2926577042399172,53.822629969418955,1
36005014900,41311,31.2,37.3,19.461279461279464,64.9176327028676,3
36005015100,28618,42.6,41.8,18.67816091954023,43.67100913863504,9
36005015200,77238,37.2,13.5,49.544072948328264,85.10877719429857,3
