code,name,Tobacco Retail Dealer Cap,Active Tobacco Retail Dealer Licenses,TRD Available Under Cap,Electronic Cigarette Retail Dealer Cap,Active Electronic Cigarette Retail Dealer Licenses,ECD Available Under Cap,activer per 1000,income,poverty,age_med,population,black_population,asian_population,hispanic_population,occupied_unit,vacant_unit,owner,renter,vacant_occupied_ratio,owner_renter_ratio,total_count,black_pct,asian_pct,hispanic_pct,retailers_per_1000
4,Queens 12,118,103,15,23,26,0,0.415058148,72397,13.4,48.8,248158,152064,40640,39245,82213,4704,40572,41641,0.0572172284188631,0.9743281861626762,129,0.612770895961444,0.16376663254861823,0.15814521393628253,0.5198301082374939
4,Queens 13,54,56,0,19,24,0,0.288923399,101052,8.7,45.1,193823,103554,43472,28809,63798,3252,46276,17522,0.050973385,2.641022714,80,0.5342709585549703,0.22428710730924606,0.1486356108408187,0.412747713119702
4,Queens 14,37,45,0,10,13,0,0.355368833,64280,17.6,40.7,126629,46512,7103,28538,45899,4992,19008,26891,0.1087605394453038,0.7068535941393032,58,0.36730922616462264,0.056092996075148664,0.22536701703401274,0.4580309407797582
4,Queens 2,70,85,0,26,41,0,0.674999603,81167,11.5,38.3,125926,5751,41518,42039,55763,8266,12977,42786,0.1482344924053583,0.3033001449072126,126,0.04566967901783587,0.3297015707637819,0.3338389212712228,1.000587646713149
4,Queens 3,64,75,0,20,30,0,0.461010782,77503,15.6,35.3,162686,14601,30152,104796,54221,5094,19610,34611,0.093948839,0.5665828782756926,105,0.08974957894348623,0.18533862778604182,0.6441611447819726,0.6454150941076675
4,Queens 4,64,87,0,18,25,0,0.541941271,64028,17.9,34.2,160534,14967,57315,79668,53550,3240,13744,39806,0.060504202,0.3452745817213485,112,0.09323258624341262,0.35702717181407057,0.49626870320305977,0.6976715212976691
4,Queens 5,99,132,0,35,49,0,0.750034092,86150,11.3,32.3,175992,7943,19817,66619,65971,6232,25512,40459,0.09446575,0.6305642749450061,181,0.04513273330605937,0.11260170916859857,0.37853425155688897,1.0284558389017684
4,Queens 6,35,51,0,19,32,0,0.39660321,90502,10.6,51.0,128592,5842,38311,30696,56010,2578,25012,30998,0.046027495,0.8068907671462675,83,0.04543050889635436,0.2979267761602588,0.23870847331093692,0.6454522831902452
4,Queens 7,71,97,0,31,51,0,0.392949593,70508,16.0,43.1,246851,6123,138953,42745,96922,4750,48167,48755,0.049008481,0.9879396984924624,148,0.024804436684477682,0.5629023175923938,0.1731611376903476,0.5995519564433606
4,Queens 8,38,55,0,21,39,0,0.371508663,78087,11.8,46.6,148045,23421,56781,30853,55342,2776,27176,28166,0.050160818,0.964851239082582,94,0.15820189807153232,0.3835387888817589,0.20840285048464993,0.6349420784221014
4,Queens 9,60,74,0,24,26,0,0.542868252,81823,11.5,44.6,136313,11587,35309,58826,44887,2334,23238,21649,0.051997238,1.073398309390734,100,0.08500289774269512,0.25902885271397447,0.43155091590677336,0.7336057456001995
5,Staten Island 1,99,110,0,34,54,0,0.596025055,81246,15.0,40.9,184556,44113,22411,56857,65022,5996,36570,28452,0.092214943,1.2853226486714466,164,0.2390223021738659,0.121431977286027,0.3080745139686599,0.8886191725004876
5,Staten Island 2,50,59,0,34,53,0,0.405481561,91734,9.6,48.8,145506,7366,29886,18311,49768,3884,35944,13824,0.078042115,2.600115740740741,112,0.050623341992770056,0.20539359201682406,0.12584360782373236,0.7697277088230039
5,Staten Island 3,42,61,0,32,53,0,0.378714977,108376,7.8,42.8,161071,4926,18040,17362,55156,4671,44186,10970,0.084687069,4.027894257064722,114,0.030582786473046047,0.11200029800522751,0.10779097416667184,0.7077624153323689
