GEOID,NAME,B01003_001_estimate,B02001_001_estimate,med_inc_estimate,B25003_001_estimate,S1701_C01_001_estimate,B01003_001_moe,B02001_001_moe,med_inc_moe,B25003_001_moe,S1701_C01_001_moe
36047011600,"Census Tract 116, Kings County, New York",3480,3480,42518,1090,3480,770,770,6082,204,770
36047011700,"Census Tract 117, Kings County, New York",2961,2961,100167,1128,2911,583,583,17730,185,559
36047011800,"Census Tract 118, Kings County, New York",1965,1965,58571,586,1965,327,327,5185,98,327
36047011901,"Census Tract 119.01, Kings County, New York",1382,1382,151875,569,1364,206,206,33847,93,209
36047012000,"Census Tract 120, Kings County, New York",1299,1299,63297,329,1286,380,380,14967,112,380
36047012100,"Census Tract 121, Kings County, New York",1989,1989,110461,835,1989,500,500,13409,140,500
36047012200,"Census Tract 122, Kings County, New York",5762,5762,50889,1568,5762,1137,1137,14672,226,1137
36047012600,"Census Tract 126, Kings County, New York",2831,2831,55625,839,2831,416,416,12159,78,416
36047012700,"Census Tract 127, Kings County, New York",3896,3896,57829,1595,3865,705,705,25394,220,703
36047012801,"Census Tract 128.01, Kings County, New York",2192,2192,55607,769,2192,351,351,20553,158,351
